index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],ch_name,Condition,Significant,P_fdr,SIG
ch_name[S10_D18 hbo]:Condition[A],3.6021223611053095e-09,4.64252443788731e-08,0.07758973397552088,0.9381544088631224,-8.738968459495657e-08,9.45939293171672e-08,S10_D18 hbo,A,False,0.996946650613581,False
ch_name[S10_D20 hbo]:Condition[A],2.172009729853554e-08,4.6425244378873105e-08,0.4678510062602876,0.6398911419912425,-6.927170965752636e-08,1.1271190425459744e-07,S10_D20 hbo,A,False,0.996946650613581,False
ch_name[S10_D22 hbo]:Condition[A],6.161484538926555e-08,4.6425244378873085e-08,1.327184083005169,0.18444779632972985,-2.937696156679631e-08,1.526066523453274e-07,S10_D22 hbo,A,False,0.7801929775786275,False
ch_name[S10_D30 hbo]:Condition[A],4.31296828344315e-09,2.756325164712548e-07,0.015647530772708893,0.9875155862420174,-5.359168369683595e-07,5.445427735352459e-07,S10_D30 hbo,A,False,0.996946650613581,False
ch_name[S11_D19 hbo]:Condition[A],-1.1982585006690363e-07,4.6425244378873085e-08,-2.5810494197728606,0.009850048001129798,-2.108176570229655e-07,-2.8834043110841768e-08,S11_D19 hbo,A,True,0.17261036497217933,False
ch_name[S11_D21 hbo]:Condition[A],-5.28820680589083e-08,4.6425244378873105e-08,-1.1390800149018392,0.25466978225596115,-1.438738750149702e-07,3.81097388971536e-08,S11_D21 hbo,A,False,0.8737080811946656,False
ch_name[S11_D23 hbo]:Condition[A],-5.776960466323519e-08,4.642524437887309e-08,-1.2443575782128702,0.21336798854673134,-1.4876141161929707e-07,3.3222202292826684e-08,S11_D23 hbo,A,False,0.8353129764382673,False
ch_name[S12_D20 hbo]:Condition[A],8.317942560430063e-08,4.64252443788731e-08,1.7916852504960294,0.07318339850778878,-7.812381351761252e-09,1.7417123256036253e-07,S12_D20 hbo,A,False,0.552074959276136,False
ch_name[S12_D21 hbo]:Condition[A],-1.0039021090176853e-08,4.6425244378873105e-08,-0.2162405653322817,0.8288002349052275,-1.0103082804623875e-07,8.095278586588505e-08,S12_D21 hbo,A,False,0.996946650613581,False
ch_name[S12_D22 hbo]:Condition[A],-2.9618317590602077e-09,4.6425244378873105e-08,-0.06379787115149918,0.949131173382616,-9.39536387151221e-08,8.80299751970017e-08,S12_D22 hbo,A,False,0.996946650613581,False
ch_name[S12_D24 hbo]:Condition[A],-1.1711784785712916e-07,4.642524437887309e-08,-2.5227190384037357,0.011645140122025449,-2.0810965481319103e-07,-2.6126040901067288e-08,S12_D24 hbo,A,True,0.18221365117621102,False
ch_name[S13_D21 hbo]:Condition[A],-3.461294297912165e-08,4.642524437887309e-08,-0.7455629677820951,0.4559314603037887,-1.2560474993518352e-07,5.6378863976940224e-08,S13_D21 hbo,A,False,0.9860680485636177,False
ch_name[S13_D23 hbo]:Condition[A],-6.344625895295266e-08,4.642524437887308e-08,-1.366632740479992,0.171740449553344,-1.544380659090145e-07,2.7545548003109182e-08,S13_D23 hbo,A,False,0.7425087842247899,False
ch_name[S13_D24 hbo]:Condition[A],-1.9921997261147243e-08,4.642524437887309e-08,-0.4291199223113453,0.6678359547081347,-1.1091380421720912e-07,7.106980969491463e-08,S13_D24 hbo,A,False,0.996946650613581,False
ch_name[S13_D25 hbo]:Condition[A],-5.690538288959336e-08,4.642524437887309e-08,-1.2257422368139326,0.22029569045061126,-1.4789718984565524e-07,3.4086424066468516e-08,S13_D25 hbo,A,False,0.8533559377455258,False
ch_name[S13_D31 hbo]:Condition[A],1.2175907469263702e-08,2.756325164712548e-07,0.044174423341425705,0.9647653693630374,-5.28053897782539e-07,5.524057127210664e-07,S13_D31 hbo,A,False,0.996946650613581,False
ch_name[S14_D22 hbo]:Condition[A],-5.921645587678911e-08,4.642524437887309e-08,-1.2755227607102693,0.20212427327910854,-1.5020826283285098e-07,3.177535107927276e-08,S14_D22 hbo,A,False,0.8144472547652009,False
ch_name[S14_D24 hbo]:Condition[A],-2.3369208267424073e-08,4.642524437887309e-08,-0.5033728649161142,0.614702145832236,-1.1436101522348594e-07,6.76225986886378e-08,S14_D24 hbo,A,False,0.996946650613581,False
ch_name[S14_D26 hbo]:Condition[A],-4.219185937668546e-08,4.64252443788731e-08,-0.9088128655255041,0.363448914256182,-1.3318366633274735e-07,4.8799947579376425e-08,S14_D26 hbo,A,False,0.9061159012640561,False
ch_name[S15_D11 hbo]:Condition[A],-2.3275942899403986e-08,4.642524437887309e-08,-0.5013639284146936,0.6161150213428457,-1.1426774985546587e-07,6.771586405665788e-08,S15_D11 hbo,A,False,0.996946650613581,False
ch_name[S15_D14 hbo]:Condition[A],5.131933719505032e-08,4.64252443788731e-08,1.1054187841476264,0.26897816811465014,-3.9672469761011563e-08,1.4231114415111222e-07,S15_D14 hbo,A,False,0.8737080811946656,False
ch_name[S15_D25 hbo]:Condition[A],-6.097822650007748e-08,4.642524437887309e-08,-1.3134713088947587,0.18902418264986665,-1.5197003345613936e-07,3.001358045598439e-08,S15_D25 hbo,A,False,0.7904647638085333,False
ch_name[S16_D14 hbo]:Condition[A],-4.667736103447036e-08,4.642524437887308e-08,-1.005430594043615,0.3146895543210011,-1.376691679905322e-07,4.431444592159149e-08,S16_D14 hbo,A,False,0.9038125892860274,False
ch_name[S16_D25 hbo]:Condition[A],-3.5562054861971685e-08,4.6425244378873085e-08,-0.766006842565056,0.4436722307696649,-1.2655386181803354e-07,5.5429752094090174e-08,S16_D25 hbo,A,False,0.9860680485636177,False
ch_name[S16_D26 hbo]:Condition[A],1.0606129203554837e-07,4.6425244378873105e-08,2.2845607697827015,0.022338595457473975,1.506948507948647e-08,1.9705309899161027e-07,S16_D26 hbo,A,True,0.27490911136273893,False
ch_name[S16_D27 hbo]:Condition[A],7.332740658298235e-09,4.6425244378873085e-08,0.15794727106778944,0.8744983486155298,-8.365906629776363e-08,9.832454761436009e-08,S16_D27 hbo,A,False,0.996946650613581,False
ch_name[S16_D32 hbo]:Condition[A],-7.27088302283107e-08,2.756325164712549e-07,-0.26378901574877633,0.7919424990427801,-6.129386354801137e-07,4.6752097502349223e-07,S16_D32 hbo,A,False,0.996946650613581,False
ch_name[S17_D13 hbo]:Condition[A],2.5453891355518677e-07,4.642524437887309e-08,5.482769492345866,4.187184490762354e-08,1.635471065991249e-07,3.455307205112486e-07,S17_D13 hbo,A,True,1.5408838926005462e-05,True
ch_name[S17_D14 hbo]:Condition[A],-6.318367269597413e-08,4.6425244378873085e-08,-1.3609766311693852,0.17352107457427157,-1.54175479652036e-07,2.780813426008773e-08,S17_D14 hbo,A,False,0.7425087842247899,False
ch_name[S17_D27 hbo]:Condition[A],4.989278233896506e-09,4.642524437887309e-08,0.10746907852933124,0.9144168549826828,-8.600252872216536e-08,9.598108518995838e-08,S17_D27 hbo,A,False,0.996946650613581,False
ch_name[S18_D26 hbo]:Condition[A],-1.1678665228685462e-07,4.642524437887309e-08,-2.5155850841358447,0.011883498989752892,-2.077784592429165e-07,-2.579484533079275e-08,S18_D26 hbo,A,True,0.18221365117621102,False
ch_name[S18_D27 hbo]:Condition[A],-2.0018803873815254e-08,4.642524437887309e-08,-0.4312051372404899,0.6663192188983016,-1.1101061082987713e-07,7.097300308224662e-08,S18_D27 hbo,A,False,0.996946650613581,False
ch_name[S19_D33 hbo]:Condition[A],1.4184508937892333e-08,2.756325164712549e-07,0.051461667583663356,0.9589576461938858,-5.260452963139106e-07,5.544143141896952e-07,S19_D33 hbo,A,False,0.996946650613581,False
ch_name[S19_D4 hbo]:Condition[A],1.5198733395521466e-08,4.6425244378873105e-08,0.327380794627287,0.7433798905191427,-7.579307356054043e-08,1.0619054035158337e-07,S19_D4 hbo,A,False,0.996946650613581,False
ch_name[S19_D6 hbo]:Condition[A],6.810141686463676e-08,4.6425244378873085e-08,1.4669048655698178,0.14240193675551588,-2.2890390091425097e-08,1.590932238206986e-07,S19_D6 hbo,A,False,0.6777204801276586,False
