Condition,Chroma,ch_name,subject,day,group,theta
A,hbo,S10_D18 hbo,201,1,trained,4.993018446121493e-09
A,hbo,S10_D18 hbo,201,3,trained,-6.944398588425326e-08
AV,hbo,S10_D18 hbo,201,1,trained,3.4807057545994536e-08
AV,hbo,S10_D18 hbo,201,3,trained,4.859012509611269e-08
V,hbo,S10_D18 hbo,201,1,trained,1.1042079980607601e-07
V,hbo,S10_D18 hbo,201,3,trained,-6.69632188304594e-08
W,hbo,S10_D18 hbo,201,1,trained,1.343730715944378e-07
W,hbo,S10_D18 hbo,201,3,trained,6.868337516213965e-08
constant,hbo,S10_D18 hbo,201,1,trained,-2.2171258100062417e-08
constant,hbo,S10_D18 hbo,201,3,trained,1.4593813171689748e-09
A,hbr,S10_D18 hbr,201,1,trained,-8.390628601618713e-08
A,hbr,S10_D18 hbr,201,3,trained,-9.57891548792209e-08
AV,hbr,S10_D18 hbr,201,1,trained,-1.6454212380659037e-07
AV,hbr,S10_D18 hbr,201,3,trained,-3.284458536371775e-08
V,hbr,S10_D18 hbr,201,1,trained,-1.0811556276949841e-07
V,hbr,S10_D18 hbr,201,3,trained,2.167825537297379e-08
W,hbr,S10_D18 hbr,201,1,trained,2.6744144344320002e-08
W,hbr,S10_D18 hbr,201,3,trained,-4.3648215745841515e-08
constant,hbr,S10_D18 hbr,201,1,trained,2.026884873581941e-08
constant,hbr,S10_D18 hbr,201,3,trained,9.13063157829914e-09
A,hbo,S10_D20 hbo,201,1,trained,-6.608948147879355e-08
A,hbo,S10_D20 hbo,201,3,trained,-1.4230066851470581e-08
AV,hbo,S10_D20 hbo,201,1,trained,3.495221443433113e-08
AV,hbo,S10_D20 hbo,201,3,trained,6.662160476496987e-08
V,hbo,S10_D20 hbo,201,1,trained,1.1084177802561287e-07
V,hbo,S10_D20 hbo,201,3,trained,1.1549073586550298e-08
W,hbo,S10_D20 hbo,201,1,trained,3.310675597978632e-08
W,hbo,S10_D20 hbo,201,3,trained,-3.0316128050944554e-09
constant,hbo,S10_D20 hbo,201,1,trained,-9.796090327672012e-09
constant,hbo,S10_D20 hbo,201,3,trained,-4.7256710279229744e-09
A,hbr,S10_D20 hbr,201,1,trained,-5.1756195998587255e-08
A,hbr,S10_D20 hbr,201,3,trained,-7.504386003372132e-08
AV,hbr,S10_D20 hbr,201,1,trained,-8.337774298374127e-08
AV,hbr,S10_D20 hbr,201,3,trained,-7.049095619212663e-08
V,hbr,S10_D20 hbr,201,1,trained,-3.5220128898860956e-08
V,hbr,S10_D20 hbr,201,3,trained,-2.2370769087377968e-08
W,hbr,S10_D20 hbr,201,1,trained,-9.878611126131916e-09
W,hbr,S10_D20 hbr,201,3,trained,-1.2076225266614753e-08
constant,hbr,S10_D20 hbr,201,1,trained,1.0890933606984988e-08
constant,hbr,S10_D20 hbr,201,3,trained,1.1815809354257955e-08
A,hbo,S10_D22 hbo,201,1,trained,-2.5642997284302032e-08
A,hbo,S10_D22 hbo,201,3,trained,-5.479901163633661e-08
AV,hbo,S10_D22 hbo,201,1,trained,1.3842348968480347e-08
AV,hbo,S10_D22 hbo,201,3,trained,5.212994427031344e-09
V,hbo,S10_D22 hbo,201,1,trained,1.0583289042284526e-07
V,hbo,S10_D22 hbo,201,3,trained,-5.611301860863687e-08
W,hbo,S10_D22 hbo,201,1,trained,5.828599898216814e-08
W,hbo,S10_D22 hbo,201,3,trained,-5.324553497118195e-08
constant,hbo,S10_D22 hbo,201,1,trained,-1.1026091114797482e-08
constant,hbo,S10_D22 hbo,201,3,trained,1.2437151170455737e-08
A,hbr,S10_D22 hbr,201,1,trained,-2.7139331936879147e-08
A,hbr,S10_D22 hbr,201,3,trained,-5.5867321728738304e-08
AV,hbr,S10_D22 hbr,201,1,trained,-8.505027289329007e-08
AV,hbr,S10_D22 hbr,201,3,trained,-5.143942826073088e-08
V,hbr,S10_D22 hbr,201,1,trained,-6.468056050317011e-09
V,hbr,S10_D22 hbr,201,3,trained,-1.4253158023731884e-08
W,hbr,S10_D22 hbr,201,1,trained,-1.9762946530748806e-08
W,hbr,S10_D22 hbr,201,3,trained,-8.541362107587568e-10
