Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,subject,run,day,group,good
A,5.0,1.307371231908198e-14,8.122220709239982e-05,1.0885166197559575e-08,-11.668342207716151,-1.2701184418098952e-07,1,2,hbo,True,S1_D2 hbo,201,1,1,trained,True
AV,5.0,1.307371231908198e-14,0.9959838227398254,1.0958249513620505e-08,0.005289948577317835,5.7968576424470646e-11,1,2,hbo,False,S1_D2 hbo,201,1,1,trained,True
V,5.0,1.307371231908198e-14,9.098221501945981e-06,1.0890389433076356e-08,-18.242874269849413,-1.9867200517730857e-07,1,2,hbo,True,S1_D2 hbo,201,1,1,trained,True
W,5.0,1.307371231908198e-14,4.630713078125791e-05,1.0671038682083634e-08,-13.097280337578388,-1.3976158511239239e-07,1,2,hbo,True,S1_D2 hbo,201,1,1,trained,True
constant,5.0,1.307371231908198e-14,5.789679912981745e-05,2.3222900223966383e-09,12.510477016033143,2.9052955949756237e-08,1,2,hbo,True,S1_D2 hbo,201,1,1,trained,True
A,5.0,7.634711502971175e-15,0.200690297596393,8.318249021450104e-09,-1.4731981123010223,-1.2254428756050118e-08,1,2,hbr,False,S1_D2 hbr,201,1,1,trained,True
AV,5.0,7.634711502971175e-15,0.006380359016579495,8.374097982437438e-09,-4.503258777925188,-3.7710730246617e-08,1,2,hbr,True,S1_D2 hbr,201,1,1,trained,True
V,5.0,7.634711502971175e-15,0.002250996891838073,8.322240524467854e-09,5.73876316707383,4.775936738934531e-08,1,2,hbr,True,S1_D2 hbr,201,1,1,trained,True
W,5.0,7.634711502971175e-15,0.01117174230926686,8.154616609804187e-09,3.920913335204875,3.197354500886441e-08,1,2,hbr,True,S1_D2 hbr,201,1,1,trained,True
constant,5.0,7.634711502971175e-15,0.6209709699636323,1.774652435775862e-09,-0.5266257783812337,-9.345777203466158e-10,1,2,hbr,False,S1_D2 hbr,201,1,1,trained,True
A,5.0,1.2154908795976086e-13,0.00017195589368538164,3.319032113275075e-08,-9.987743422140152,-3.3149641157235057e-07,1,4,hbo,True,S1_D4 hbo,201,1,1,trained,True
AV,5.0,1.2154908795976086e-13,0.08403636667105133,3.341316189470921e-08,-2.151961535572629,-7.190383917927528e-08,1,4,hbo,False,S1_D4 hbo,201,1,1,trained,True
V,5.0,1.2154908795976086e-13,6.422752188637984e-06,3.320624747333275e-08,-19.575058337983215,-6.500142314759963e-07,1,4,hbo,True,S1_D4 hbo,201,1,1,trained,True
