Channel,Corrected P-Value
S15_D14 hbo,9.3989329490594e-05
S25_D11 hbo,0.016131380501557248
S5_D16 hbo,0.04385853742027277
S17_D27 hbo,0.0005451034609219397
S6_D16 hbo,5.626166196625706e-05
S7_D19 hbo,0.00014712770007917276
S25_D13 hbo,0.019931082363690372
S23_D8 hbo,9.3989329490594e-05
S16_D27 hbo,0.0021454900218226816
S15_D11 hbo,0.00014712770007917276
S24_D9 hbo,0.001767532156187218
S11_D23 hbo,0.00023191857538454056
S23_D10 hbo,0.00011745490249279014
S3_D6 hbo,0.036527837883707975
S15_D25 hbo,0.016203072175015355
S24_D7 hbo,0.00336515117716757
S23_D12 hbo,0.008690993531538136
S16_D14 hbo,0.0009620170760109249
S22_D5 hbo,0.026598117077789026
S14_D24 hbo,0.00014831111875636806
S14_D26 hbo,0.00018670802571792868
S10_D20 hbo,7.960535392422707e-06
S21_D10 hbo,0.0019525123142027706
S5_D17 hbo,0.00972167678599516
S18_D26 hbo,0.0024843872067737724
S25_D14 hbo,0.019931082363690372
S3_D2 hbo,0.002201717823553513
S13_D24 hbo,0.003394388182139917
S10_D18 hbo,3.616582034450277e-08
S16_D26 hbo,0.00026147843117530287
S9_D21 hbo,5.626166196625706e-05
S11_D21 hbo,0.008690993531538136
S8_D20 hbo,0.00023082494121977497
S8_D16 hbo,0.003394388182139917
S11_D19 hbo,5.626166196625706e-05
S17_D14 hbo,5.626166196625706e-05
S2_D1 hbo,0.002576530867448589
S8_D18 hbo,8.528725956596148e-05
S24_D10 hbo,5.626166196625706e-05
S5_D15 hbo,0.0019789225725776608
S13_D23 hbo,0.005974220793113592
S2_D3 hbo,0.0226309116487815
S6_D18 hbo,1.423130826699542e-06
S14_D22 hbo,0.005974220793113592
S8_D17 hbo,0.00040359568049954194
S22_D9 hbo,0.03962670322430508
S13_D25 hbo,0.0043081569815278525
S12_D20 hbo,1.3163990247333831e-05
S4_D5 hbo,0.02595948052439569
S19_D4 hbo,2.9920643167400812e-05
S18_D27 hbo,1.7102177795872263e-05
S22_D7 hbo,0.020000745703029572
S20_D3 hbo,0.018444736624853252
S10_D22 hbo,0.0015120511825884092
S16_D25 hbo,8.528725956596148e-05
S9_D19 hbo,0.002349392188625998
S19_D6 hbo,5.626166196625706e-05
S7_D15 hbo,0.004679061829641619
S4_D3 hbo,0.0007183802092005969
S12_D22 hbo,5.626166196625706e-05
S20_D7 hbo,0.009878595407379854
S7_D17 hbo,0.0478343180687302
S1_D2 hbo,0.0021454900218226816
